,country,region1,region2,continent
0,Afghanistan,Southern Asia,,Asia
1,Åland Islands,Northern Europe,,Europe
2,Albania,Southern Europe,,Europe
3,Algeria,Northern Africa,,Africa
4,American Samoa,Polynesia,,Oceania
5,Andorra,Southern Europe,,Europe
6,Angola,Middle Africa,Sub-Saharan Africa,Africa
7,Anguilla,Caribbean,Latin America and the Caribbean,North America
8,Antarctica,Antarctica,,Antarctica
9,Antigua and Barbuda,Caribbean,Latin America and the Caribbean,North America
10,Argentina,South America,Latin America and the Caribbean,South America
11,Armenia,Western Asia,,Asia
12,Aruba,Caribbean,Latin America and the Caribbean,North America
13,Australia,Australia and New Zealand,,Oceania
14,Austria,Western Europe,,Europe
15,Azerbaijan,Western Asia,,Asia
16,Bahamas,Caribbean,Latin America and the Caribbean,North America
17,Bahrain,Western Asia,,Asia
18,Bangladesh,Southern Asia,,Asia
19,Barbados,Caribbean,Latin America and the Caribbean,North America
20,Belarus,Eastern Europe,,Europe
21,Belgium,Western Europe,,Europe
22,Belize,Central America,Latin America and the Caribbean,North America
23,Benin,Western Africa,Sub-Saharan Africa,Africa
24,Bermuda,Northern America,,North America
25,Bhutan,Southern Asia,,Asia
26,Bolivia (Plurinational State of),South America,Latin America and the Caribbean,South America
27,"Bonaire, Sint Eustatius and Saba",Caribbean,Latin America and the Caribbean,North America
28,Bosnia and Herzegovina,Southern Europe,,Europe
29,Botswana,Southern Africa,Sub-Saharan Africa,Africa
30,Bouvet Island,South America,Latin America and the Caribbean,South America
31,Brazil,South America,Latin America and the Caribbean,South America
32,British Indian Ocean Territory,Eastern Africa,Sub-Saharan Africa,Africa
33,British Virgin Islands,Caribbean,Latin America and the Caribbean,North America
34,Brunei Darussalam,South-eastern Asia,,Asia
35,Bulgaria,Eastern Europe,,Europe
36,Burkina Faso,Western Africa,Sub-Saharan Africa,Africa
37,Burundi,Eastern Africa,Sub-Saharan Africa,Africa
38,Cabo Verde,Western Africa,Sub-Saharan Africa,Africa
39,Cambodia,South-eastern Asia,,Asia
40,Cameroon,Middle Africa,Sub-Saharan Africa,Africa
41,Canada,Northern America,,North America
42,Cayman Islands,Caribbean,Latin America and the Caribbean,North America
43,Central African Republic,Middle Africa,Sub-Saharan Africa,Africa
44,Chad,Middle Africa,Sub-Saharan Africa,Africa
45,Chile,South America,Latin America and the Caribbean,South America
46,China,Eastern Asia,,Asia
