country,region1,region2,continent,happiness_rank,happiness_score,economy,family,life_expectancy,freedom,govt_trust,generosity,dystopia_residual
Finland,Northern Europe,N/A,Europe,1,7.769,1.34,1.587,0.986,0.596,0.393,0.153,2.714
Denmark,Northern Europe,N/A,Europe,2,7.6,1.383,1.573,0.996,0.592,0.41,0.252,2.394
Norway,Northern Europe,N/A,Europe,3,7.554,1.488,1.582,1.028,0.603,0.341,0.271,2.241
Iceland,Northern Europe,N/A,Europe,4,7.494,1.38,1.624,1.026,0.591,0.118,0.354,2.401
Netherlands,Western Europe,N/A,Europe,5,7.488,1.396,1.522,0.999,0.557,0.298,0.322,2.394
Switzerland,Western Europe,N/A,Europe,6,7.48,1.452,1.526,1.052,0.572,0.343,0.263,2.272
Sweden,Northern Europe,N/A,Europe,7,7.343,1.387,1.487,1.009,0.574,0.373,0.267,2.246
New Zealand,Australia and New Zealand,N/A,Oceania,8,7.307,1.303,1.557,1.026,0.585,0.38,0.33,2.126
Canada,Northern America,N/A,North America,9,7.278,1.365,1.505,1.039,0.584,0.308,0.285,2.192
Austria,Western Europe,N/A,Europe,10,7.246,1.376,1.475,1.016,0.532,0.226,0.244,2.377
Australia,Australia and New Zealand,N/A,Oceania,11,7.228,1.372,1.548,1.036,0.557,0.29,0.332,2.093
Costa Rica,Central America,Latin America and the Caribbean,North America,12,7.167,1.034,1.441,0.963,0.558,0.093,0.144,2.934
Israel,Western Asia,N/A,Asia,13,7.139,1.276,1.455,1.029,0.371,0.082,0.261,2.665
Luxembourg,Western Europe,N/A,Europe,14,7.09,1.609,1.479,1.012,0.526,0.316,0.194,1.954
United Kingdom,Northern Europe,N/A,Europe,15,7.054,1.333,1.538,0.996,0.45,0.278,0.348,2.111
Ireland,Northern Europe,N/A,Europe,16,7.021,1.499,1.553,0.999,0.516,0.31,0.298,1.846
Germany,Western Europe,N/A,Europe,17,6.985,1.373,1.454,0.987,0.495,0.265,0.261,2.15
Belgium,Western Europe,N/A,Europe,18,6.923,1.356,1.504,0.986,0.473,0.21,0.16,2.234
United States,Northern America,N/A,North America,19,6.892,1.433,1.457,0.874,0.454,0.128,0.28,2.266
Czech Republic,Eastern Europe,N/A,Europe,20,6.852,1.269,1.487,0.92,0.457,0.036,0.046,2.637
United Arab Emirates,Western Asia,N/A,Asia,21,6.825,1.503,1.31,0.825,0.598,0.182,0.262,2.145
Malta,Southern Europe,N/A,Europe,22,6.726,1.3,1.52,0.999,0.564,0.151,0.375,1.817
Mexico,Central America,Latin America and the Caribbean,North America,23,6.595,1.07,1.323,0.861,0.433,0.073,0.074,2.761
